timestamp,BOROS_collateral,BOROS_size,BOROS_entry_rate,BOROS_realized_settlements,BOROS_liquidation_count,PT_amount,PT_cash,PT_py_index_high,LENDING_collateral,LENDING_borrowed,LENDING_liquidation_count,BOROS_seconds_to_expiry,BOROS_mark_rate,BOROS_funding_rate,BOROS_funding_period_seconds,BOROS_underlying_price,PT_seconds_to_expiry,PT_implied_apy,PT_asset_price,PT_sy_exchange_rate,PT_total_pt,PT_total_sy,PT_scalar_root,PT_ln_fee_rate_root,LENDING_collateral_price,LENDING_debt_price,LENDING_lending_rate,LENDING_borrowing_rate,LENDING_collateral_market_price,BOROS_balance,PT_balance,LENDING_balance,net_balance
2025-08-27 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.1918935259498564,353849.2387463244,266023.1381437155,0,0.0,0.0,0.0,0.0,1.0,7948800.0,0.09414837751608274,1.0,1.1918935259498564,4484353.904418743,12973908.691932468,0.0,0.0,0.9775762709029171,1.0,0.0,9.992967770880002e-05,0.9775762709029171,20000.0,0.0,79891.48113175231,99891.48113175231
2025-08-28 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.1921565459327244,353849.2387463244,266049.52243849554,0,0.0,0.0,0.0,0.0,1.0,7862400.0,0.09532240643487344,1.0,1.1921565459327244,4704176.386545451,13271526.0709712,0.0,0.0,0.9775558760108781,1.0,0.0,9.91755328032e-05,0.9775558760108781,20000.0,0.0,79857.88011994993,99857.88011994993
2025-08-29 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.1924509399128502,353849.2387463244,266075.711012295,0,0.0,0.0,0.0,0.0,1.0,7776000.0,0.09546862473868734,1.0,1.1924509399128502,4892222.8262533415,13758853.979389025,0.0,0.0,0.9777675736610152,1.0,0.0,9.843011447039999e-05,0.9777675736610152,20000.0,0.0,79906.60059849592,99906.60059849592
2025-08-30 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.192755336493245,353849.2387463244,266101.70612891315,0,0.0,0.0,0.0,0.0,1.0,7689600.0,0.09212363248940059,1.0,1.192755336493245,4691437.789830229,14175415.435046531,0.0,0.0,0.9787414266607469,1.0,0.0,9.769342253760002e-05,0.9787414266607469,20000.0,0.0,80225.20262448362,100225.20262448362
2025-08-31 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.1930439253458984,353849.2387463244,266127.51005348214,0,0.0,0.0,0.0,0.0,1.0,7603200.0,0.09407060785709587,1.0,1.1930439253458984,4878423.065495181,14137360.140096929,0.0,0.0,0.978557447025521,1.0,0.0,9.69654570048e-05,0.978557447025521,20000.0,0.0,80134.2976460451,100134.2976460451
2025-09-01 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.193359837723655,353849.2387463244,266153.12505247304,0,0.0,0.0,0.0,0.0,1.0,7516800.0,0.08682800475913699,1.0,1.193359837723655,4347754.367463948,14720862.926481972,0.0,0.0,0.980349305509837,1.0,0.0,9.62462179584e-05,0.980349305509837,20000.0,0.0,80742.73040767055,100742.73040767055
2025-09-02 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.1936380055445808,353849.2387463244,266178.55339365685,0,0.0,0.0,0.0,0.0,1.0,7430400.0,0.09200947480651145,1.0,1.1936380055445808,4759743.985200935,14416966.588783272,0.0,0.0,0.9794747172903325,1.0,0.0,9.55357053984e-05,0.9794747172903325,20000.0,0.0,80407.8296907986,100407.8296907986
2025-09-03 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.19392120246545,353849.2387463244,266203.79734604195,0,0.0,0.0,0.0,0.0,1.0,7344000.0,0.0955539307822928,1.0,1.19392120246545,5105219.482019576,14332524.71630788,0.0,0.0,0.9789718859544858,1.0,0.0,9.4833919152e-05,0.9789718859544858,20000.0,0.0,80204.65925300634,100204.65925300634
2025-09-04 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.1942380631074203,353849.2387463244,266228.8591799733,0,0.0,0.0,0.0,0.0,1.0,7257600.0,0.08781367860422917,1.0,1.1942380631074203,5574403.777334291,18476639.32500268,0.0,0.0,0.9808158015092917,1.0,0.0,9.41408594784e-05,0.9808158015092917,20000.0,0.0,80832.06553445553,100832.06553445553
2025-09-05 00:00:00+00:00,20000.0,0.0,0.0,0.0,0,0.0,0.0,1.194518542059672,353849.2387463244,266253.74116702465,0,0.0,0.0,0.0,0.0,1.0,7171200.0,0.09182164843513041,1.0,1.194518542059672,6802940.959829725,20688996.14076637,0.0,0.0,0.9802219145356454,1.0,0.0,9.34565262912e-05,0.9802219145356454,20000.0,0.0,80597.03709387814,100597.03709387814
