timestamp,SPOT_amount,SPOT_cash,PERP_collateral,PERP_positions_0_amount,PERP_positions_0_entry_price,PERP_positions_0_max_leverage,PT_amount,PT_cash,PT_py_index_high,LENDING_collateral,LENDING_borrowed,LENDING_liquidation_count,SPOT_open,SPOT_high,SPOT_low,SPOT_close,SPOT_volume,PERP_mark_price,PERP_funding_rate,PT_seconds_to_expiry,PT_implied_apy,PT_asset_price,PT_sy_exchange_rate,PT_total_pt,PT_total_sy,PT_scalar_root,PT_ln_fee_rate_root,LENDING_collateral_price,LENDING_debt_price,LENDING_lending_rate,LENDING_borrowing_rate,LENDING_collateral_market_price,SPOT_balance,PERP_balance,PT_balance,LENDING_balance,net_balance
2026-08-02 00:00:00+00:00,7.218978075829967,3.3333333333321207,6658.669000000001,-7.218978075829967,1846.06,10.0,0.0,0.0,1.1049163316988413,351110.01500003337,265672.69664466893,0,1846.06,1846.06,1846.06,1846.06,0.0,1846.06,2.775e-05,10022400.0,0.05254060318860576,1.0,1.1049163316988413,1156867.8503629519,3114869.502320892,0.0,0.0,0.9838577433411293,1.0,0.0,5.853437189999999e-06,0.9838577433411293,13330.0,6658.669000000001,0.0,79769.61037773394,99758.27937773394
2026-08-02 01:00:00+00:00,7.218978075829967,3.3333333333321207,6658.669000000001,-7.218978075829967,1846.06,10.0,0.0,0.0,1.1049206952183488,351110.01500003337,265674.2521530535,0,1856.29,1856.29,1856.29,1856.29,0.0,1856.29,0.0,10018800.0,0.05254044100489308,1.0,1.1049206952183488,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838635426931098,1.0,0.0,5.8549630824e-06,0.9838635426931098,13403.850145715742,6584.81885428426,0.0,79770.09107991029,99758.76007991028
2026-08-02 02:00:00+00:00,7.218978075829967,3.3333333333321207,6658.669000000001,-7.218978075829967,1846.06,10.0,0.0,0.0,1.1049250587359736,351110.01500003337,265675.80807609414,0,1876.2,1876.2,1876.2,1876.2,0.0,1876.2,0.0,10015200.0,0.05254044103004962,1.0,1.1049250587359736,1156867.8503629519,3114894.1382452925,0.0,0.0,0.983869293891345,1.0,0.0,5.8564895615999995e-06,0.983869293891345,13547.579999205516,6441.0890007944845,0.0,79770.55446016823,99759.22346016823
2026-08-02 03:00:00+00:00,7.218978075829967,3.3333333333321207,6658.669000000001,-7.218978075829967,1846.06,10.0,0.0,0.0,1.1049294222708308,351110.01500003337,265677.364413952,0,1876.61,1876.61,1876.61,1876.61,0.0,1876.61,0.0,10011600.0,0.05254044105522393,1.0,1.1049294222708308,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838750451231992,1.0,0.0,5.8580166204e-06,0.9838750451231992,13550.539780216606,6438.1292197833955,0.0,79771.01743741299,99759.68643741298
2026-08-02 04:00:00+00:00,7.218978075829967,3.3333333333321207,6658.669000000001,-7.218978075829967,1846.06,10.0,0.0,0.0,1.1049337858229207,351110.01500003337,265678.9211667902,0,1880.23,1880.23,1880.23,1880.23,0.0,1880.23,0.0,10008000.0,0.052540441080416,1.0,1.1049337858229207,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838807963886725,1.0,0.0,5.859544266e-06,0.9838807963886725,13576.672480851112,6411.99651914889,0.0,79771.48001148138,99760.14901148138
2026-08-02 05:00:00+00:00,7.218978075829967,3.3333333333321207,6658.669000000001,-7.218978075829967,1846.06,10.0,0.0,0.0,1.1049381493922428,351110.01500003337,265680.4783347727,0,1875.67,1875.67,1875.67,1875.67,0.0,1875.67,0.0,10004400.0,0.0525404411056265,1.0,1.1049381493922428,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838865476877648,1.0,0.0,5.861072502e-06,0.9838865476877648,13543.753940825327,6444.915059174675,0.0,79771.94218220946,99760.61118220945
2026-08-02 06:00:00+00:00,7.218978075829967,3.3333333333321207,6658.669000000001,-7.218978075829967,1846.06,10.0,0.0,0.0,1.104942512978797,351110.01500003337,265682.03591806174,0,1876.72,1876.72,1876.72,1876.72,0.0,1876.72,0.0,10000800.0,0.052540441130854765,1.0,1.104942512978797,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838922990204766,1.0,0.0,5.8626013212e-06,0.9838922990204766,13551.333867804948,6437.335132195053,0.0,79772.4039494351,99761.0729494351
2026-08-02 07:00:00+00:00,7.218978075829967,3.3333333333321207,6658.669000000001,-7.218978075829967,1846.06,10.0,0.0,0.0,1.104946876582584,351110.01500003337,265683.59391681943,0,1875.32,1875.32,1875.32,1875.32,0.0,1875.32,0.0,9997200.0,0.0525404411561019,1.0,1.104946876582584,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838980503868077,1.0,0.0,5.864130723600001e-06,0.9838980503868077,13541.227298498785,6447.441701501216,0.0,79772.8653129962,99761.5343129962
2026-08-02 08:00:00+00:00,7.218978075829967,3.3333333333321207,6659.424839665184,-7.218978075829967,1846.06,10.0,0.0,0.0,1.1049512278937244,351110.01500003337,265685.1523312098,0,1867.34,1867.34,1867.34,1867.34,0.0,1867.34,5.607e-05,9993600.0,0.05264490703897451,1.0,1.1049512278937244,1161301.5514845203,3110946.7065217644,0.0,0.0,0.9838728578762702,1.0,0.0,5.8656607164e-06,0.9838728578762702,13483.619853453662,6505.804986211522,0.0,79762.46155585314,99751.88639551832
2026-08-02 09:00:00+00:00,7.218978075829967,3.3333333333321207,6659.424839665184,-7.218978075829967,1846.06,10.0,0.0,0.0,1.1049555933019635,351110.01500003337,265686.7111613941,0,1870.21,1870.21,1870.21,1870.21,0.0,1870.21,0.0,9990000.0,0.0526298853560947,1.0,1.1049555933019635,1160663.359035395,3111515.0075710034,0.0,0.0,0.9838830680415991,1.0,0.0,5.8671912888e-06,0.9838830680415991,13504.338320531295,6485.086519133889,0.0,79764.48761697061,99753.9124566358
