timestamp,BOROS_collateral,BOROS_size,BOROS_entry_rate,BOROS_realized_settlements,BOROS_liquidation_count,PT_amount,PT_cash,PT_py_index_high,LENDING_collateral,LENDING_borrowed,LENDING_liquidation_count,BOROS_seconds_to_expiry,BOROS_mark_rate,BOROS_funding_rate,BOROS_funding_period_seconds,BOROS_underlying_price,PT_seconds_to_expiry,PT_implied_apy,PT_asset_price,PT_sy_exchange_rate,PT_total_pt,PT_total_sy,PT_scalar_root,PT_ln_fee_rate_root,LENDING_collateral_price,LENDING_debt_price,LENDING_lending_rate,LENDING_borrowing_rate,LENDING_collateral_market_price,BOROS_balance,PT_balance,LENDING_balance,net_balance
2026-03-12 00:00:00+00:00,19994.531192725495,128.4129213029556,0.00682300134032404,0.0,0,0.0,0.0,1.2233438349876424,348021.46800491685,266148.62069250573,0,1296000.0,0.00682300134032404,-7.422e-05,86400.0,2072.6,4838400.0,0.03700470901859254,1.0,1.2233438349876424,2629297.2791069774,18562434.993296813,0.0,0.0,0.9944406004737046,1.0,0.0,0.00010020513706559999,0.9944406004737046,19994.531192725495,0.0,79938.05692804395,99932.58812076945
2026-03-13 00:00:00+00:00,20000.322238300196,128.4129213029556,0.00682300134032404,5.791045574701597,0,0.0,0.0,1.2234580579820957,348021.46800491685,266175.08983826905,0,1209600.0,0.008838611891859,4.3e-05,86400.0,2091.01,4752000.0,0.036871754665084966,1.0,1.2234580579820957,2622226.9438817725,18569642.12475359,0.0,0.0,0.9945588191641438,1.0,0.0,9.9447555168e-05,0.9945588191641438,20021.081247920476,0.0,79952.73042447289,99973.81167239336
2026-03-14 00:00:00+00:00,19984.36353002931,128.4129213029556,0.00682300134032404,-10.167662696184026,0,0.0,0.0,1.2235646640913076,348021.46800491685,266201.36226841685,0,1123200.0,0.001701403248289937,-3.7879999999999996e-05,86400.0,2095.27,4665600.0,0.03887263188041512,1.0,1.2235646640913076,2698307.652839281,18243425.405598894,0.0,0.0,0.9943738307821807,1.0,0.0,9.869869362239999e-05,0.9943738307821807,19935.28351312216,0.0,79862.07806607045,99797.3615791926
2026-03-15 00:00:00+00:00,19978.396973095252,122.24997600517779,0.00682300134032404,-15.69152944627203,0,0.0,0.0,1.2236837392551052,348021.46800491685,266227.44024575583,0,1036800.0,0.006319728250133428,1.6799999999999975e-06,86400.0,2177.73,4579200.0,0.03692184080397576,1.0,1.2236837392551052,2580970.8700913335,18256199.910370067,0.0,0.0,0.9947491833997263,1.0,0.0,9.795855234240001e-05,0.9947491833997263,19973.991983290998,0.0,79966.63085770915,99940.62284100015
2026-03-16 00:00:00+00:00,20053.141264498554,113.21931147973424,0.00682300134032404,49.11084870490252,0,0.0,0.0,1.2237916836798879,348021.46800491685,266253.3260344318,0,950400.0,0.022856736886851487,0.00024684,86400.0,2351.66,4492800.0,0.038380990809752324,1.0,1.2237916836798879,2649866.101326917,18120940.46396231,0.0,0.0,0.9946487158466217,1.0,0.0,9.7227131328e-05,0.9946487158466217,20181.797126411468,0.0,79905.78020371491,100087.57733012637
2026-03-17 00:00:00+00:00,20063.418747864216,113.21931147973424,0.00682300134032404,59.38833207056349,0,0.0,0.0,1.2239020604067512,348021.46800491685,266279.0218999361,0,864000.0,0.010757179352599828,6.062e-05,86400.0,2316.45,4406400.0,0.039044669440763125,1.0,1.2239020604067512,2614267.5531838043,17605121.618697364,0.0,0.0,0.9946625501434072,1.0,0.0,9.650443066560001e-05,0.9946625501434072,20091.68736620238,0.0,79884.89897048671,99976.5863366891
2026-03-18 00:00:00+00:00,20061.3711355378,120.93753640349965,0.007035389004978875,57.550248933654466,0,0.0,0.0,1.224014733754402,348021.46800491685,266298.40828368603,0,777600.0,0.010150922096657411,1.4060000000000001e-05,86400.0,2201.95,4320000.0,0.0389188921636765,1.0,1.224014733754402,2607617.3889721506,17611480.26449723,0.0,0.0,0.9947834283754964,1.0,0.0,7.280212288319999e-05,0.9947834283754964,20081.828542467723,0.0,79907.58080651826,99989.409348986
2026-03-19 00:00:00+00:00,20052.62080881169,120.93753640349965,0.007035389004978875,48.79992220754686,0,0.0,0.0,1.2241279971682777,348021.46800491685,266317.3301082958,0,691200.0,0.004208726922569035,-1.185e-05,86400.0,2136.56,4233600.0,0.03879621914422504,1.0,1.2241279971682777,2554272.3429133245,17300172.60174203,0.0,0.0,0.9949032641748148,1.0,0.0,7.1052442704e-05,0.9949032641748148,20036.61243464565,0.0,79930.36441270687,99966.97684735252
2026-03-20 00:00:00+00:00,20014.827166623556,120.93753640349965,0.007035389004978875,11.006280019413495,0,0.0,0.0,1.2242451973148665,348021.46800491685,266335.8048030919,0,604800.0,0.010049914580074619,-0.00012367,86400.0,2145.08,4147200.0,0.03812037199810181,1.0,1.2242451973148665,2515236.894093648,17304141.170419972,0.0,0.0,0.9950921823932334,1.0,0.0,6.9368576256e-05,0.9950921823932334,20029.82500811784,0.0,79977.63731361763,100007.46232173547
2026-03-21 00:00:00+00:00,20023.165848048247,127.84823503127959,0.007094702407347855,19.463297407394457,0,0.0,0.0,1.2243615115559332,348021.46800491685,266355.17741711694,0,518400.0,0.00813268961306662,5.558e-05,86400.0,2083.37,4060800.0,0.037672036079600346,1.0,1.2243615115559332,2496559.12130538,17354717.152152326,0.0,0.0,0.9952495397576591,1.0,0.0,7.2734905152e-05,0.9952495397576591,20027.71061407021,0.0,80013.02844056144,100040.73905463165
2026-03-22 00:00:00+00:00,19998.10752912561,127.84823503127959,0.007094702407347855,-5.595021515243694,0,0.0,0.0,1.2244741329533664,348021.46800491685,266374.2719646565,0,432000.0,-0.015417255835531406,-7.329999999999999e-05,86400.0,2052.85,3974400.0,0.03851596614429442,1.0,1.2244741329533664,2540633.1376185035,17319719.728148345,0.0,0.0,0.9952484042565033,1.0,0.0,7.16857217856e-05,0.9952484042565033,19917.17141147371,0.0,79993.53871424275,99910.71012571646
