timestamp,SPOT_amount,SPOT_cash,PERP_collateral,PERP_positions_0_amount,PERP_positions_0_entry_price,PERP_positions_0_max_leverage,PT_amount,PT_cash,PT_py_index_high,LENDING_collateral,LENDING_borrowed,LENDING_liquidation_count,SPOT_open,SPOT_high,SPOT_low,SPOT_close,SPOT_volume,PERP_mark_price,PERP_funding_rate,PT_seconds_to_expiry,PT_implied_apy,PT_asset_price,PT_sy_exchange_rate,PT_total_pt,PT_total_sy,PT_scalar_root,PT_ln_fee_rate_root,LENDING_collateral_price,LENDING_debt_price,LENDING_lending_rate,LENDING_borrowing_rate,LENDING_collateral_market_price,SPOT_balance,PERP_balance,PT_balance,LENDING_balance,net_balance
2026-03-12 00:00:00+00:00,6.4299269838206445,3.3333333333321207,6658.669000000001,-6.4299269838206445,2072.6,10.0,0.0,0.0,1.2233438349876424,348021.46800491685,266148.62069250573,0,2072.6,2072.6,2072.6,2072.6,0.0,2072.6,-7.422e-05,4838400.0,0.03700470901859254,1.0,1.2233438349876424,2629297.2791069774,18562434.993296813,0.0,0.0,0.9944406004737046,1.0,0.0,0.00010020513706559999,0.9944406004737046,13330.0,6658.669000000001,0.0,79938.05692804395,99926.72592804395
2026-03-13 00:00:00+00:00,6.4299269838206445,3.3333333333321207,6659.247136789766,-6.4299269838206445,2072.6,10.0,0.0,0.0,1.2234580579820957,348021.46800491685,266175.08983826905,0,2091.01,2091.01,2091.01,2091.01,0.0,2091.01,4.3e-05,4752000.0,0.036871754665084966,1.0,1.2234580579820957,2622226.9438817725,18569642.12475359,0.0,0.0,0.9945588191641438,1.0,0.0,9.9447555168e-05,0.9945588191641438,13448.37495577214,6540.872181017626,0.0,79952.73042447289,99941.97756126265
2026-03-14 00:00:00+00:00,6.4299269838206445,3.3333333333321207,6658.736801023507,-6.4299269838206445,2072.6,10.0,0.0,0.0,1.2235646640913076,348021.46800491685,266201.36226841685,0,2095.27,2095.27,2095.27,2095.27,0.0,2095.27,-3.7879999999999996e-05,4665600.0,0.03887263188041512,1.0,1.2235646640913076,2698307.652839281,18243425.405598894,0.0,0.0,0.9943738307821807,1.0,0.0,9.869869362239999e-05,0.9943738307821807,13475.766444723215,6512.970356300292,0.0,79862.07806607045,99850.81486709396
2026-03-15 00:00:00+00:00,6.117642193095642,0.0,6656.2835300798215,-6.117642193095642,2177.73,10.0,0.0,0.0,1.2236837392551052,348021.46800491685,266227.44024575583,0,2177.73,2177.73,2177.73,2177.73,0.0,2177.73,1.6799999999999975e-06,4579200.0,0.03692184080397576,1.0,1.2236837392551052,2580970.8700913335,18256199.910370067,0.0,0.0,0.9947491833997263,1.0,0.0,9.795855234240001e-05,0.9947491833997263,13322.572933170171,6656.2835300798215,0.0,79966.63085770915,99945.48732095915
2026-03-16 00:00:00+00:00,5.663339184548896,0.0,6653.92854338223,-5.663339184548896,2351.66,10.0,0.0,0.0,1.2237916836798879,348021.46800491685,266253.3260344318,0,2351.66,2351.66,2351.66,2351.66,0.0,2351.66,0.00024684,4492800.0,0.038380990809752324,1.0,1.2237916836798879,2649866.101326917,18120940.46396231,0.0,0.0,0.9946487158466217,1.0,0.0,9.7227131328e-05,0.9946487158466217,13318.248226736256,6653.92854338223,0.0,79905.78020371491,99877.9569738334
2026-03-17 00:00:00+00:00,5.663339184548896,0.0,6654.723807587546,-5.663339184548896,2351.66,10.0,0.0,0.0,1.2239020604067512,348021.46800491685,266279.0218999361,0,2316.45,2316.45,2316.45,2316.45,0.0,2316.45,6.062e-05,4406400.0,0.039044669440763125,1.0,1.2239020604067512,2614267.5531838043,17605121.618697364,0.0,0.0,0.9946625501434072,1.0,0.0,9.650443066560001e-05,0.9946625501434072,13118.84205404829,6854.129980275513,0.0,79884.89897048671,99857.87100481051
2026-03-18 00:00:00+00:00,6.045596291930455,0.21053302591099055,6651.391142243876,-6.045596291930455,2201.95,10.0,0.0,0.0,1.224014733754402,348021.46800491685,266298.40828368603,0,2201.95,2201.95,2201.95,2201.95,0.0,2201.95,1.4060000000000001e-05,4320000.0,0.0389188921636765,1.0,1.224014733754402,2607617.3889721506,17611480.26449723,0.0,0.0,0.9947834283754964,1.0,0.0,7.280212288319999e-05,0.9947834283754964,13312.311288042174,6651.391142243876,0.0,79907.58080651826,99871.28323680432
2026-03-19 00:00:00+00:00,6.045596291930455,0.21053302591099055,6651.238078410196,-6.045596291930455,2201.95,10.0,0.0,0.0,1.2241279971682777,348021.46800491685,266317.3301082958,0,2136.56,2136.56,2136.56,2136.56,0.0,2136.56,-1.185e-05,4233600.0,0.03879621914422504,1.0,1.2241279971682777,2554272.3429133245,17300172.60174203,0.0,0.0,0.9949032641748148,1.0,0.0,7.1052442704e-05,0.9949032641748148,12916.989746512843,7046.559619939528,0.0,79930.36441270687,99893.91377915924
2026-03-20 00:00:00+00:00,6.045596291930455,0.21053302591099055,6649.634290271092,-6.045596291930455,2201.95,10.0,0.0,0.0,1.2242451973148665,348021.46800491685,266335.8048030919,0,2145.08,2145.08,2145.08,2145.08,0.0,2145.08,-0.00012367,4147200.0,0.03812037199810181,1.0,1.2242451973148665,2515236.894093648,17304141.170419972,0.0,0.0,0.9950921823932334,1.0,0.0,6.9368576256e-05,0.9950921823932334,12968.49822692009,6993.447351393176,0.0,79977.63731361763,99939.58289193088
2026-03-21 00:00:00+00:00,6.3863530681013305,0.17756939589071408,6647.911398008113,-6.3863530681013305,2083.37,10.0,0.0,0.0,1.2243615115559332,348021.46800491685,266355.17741711694,0,2083.37,2083.37,2083.37,2083.37,0.0,2083.37,5.558e-05,4060800.0,0.037672036079600346,1.0,1.2243615115559332,2496559.12130538,17354717.152152326,0.0,0.0,0.9952495397576591,1.0,0.0,7.2734905152e-05,0.9952495397576591,13305.31396088616,6647.911398008113,0.0,80013.02844056144,99966.2537994557
