timestamp,PT_amount,PT_cash,PT_py_index_high,LENDING_collateral,LENDING_borrowed,LENDING_liquidation_count,PT_seconds_to_expiry,PT_implied_apy,PT_asset_price,PT_sy_exchange_rate,PT_total_pt,PT_total_sy,PT_scalar_root,PT_ln_fee_rate_root,LENDING_collateral_price,LENDING_debt_price,LENDING_lending_rate,LENDING_borrowing_rate,LENDING_collateral_market_price,PT_balance,LENDING_balance,net_balance
2025-06-05 00:00:00+00:00,0.0,0.0,1.1758804926460682,442640.1150285612,332370.0707920124,0,9676800.0,0.08107348670557468,1.0,1.1758804926460682,2118760.760293249,8917314.953745352,0.0,0.0,0.9763635325545232,1.0,0.0,0.00044817395592959997,0.9763635325545232,0.0,99807.59556761413,99807.59556761413
2025-06-06 00:00:00+00:00,0.0,99329.70404286135,1.1760748170581536,0.0,0.0,0,9590400.0,0.08002894571436414,1.0,1.1760748170581536,2078412.7219451028,8923944.115754515,0.0,0.0,0.9768592106076429,1.0,0.0,0.00048073297996799997,0.9768592106076429,99329.70404286135,0.0,99329.70404286135
2025-06-07 00:00:00+00:00,0.0,99329.70404286135,1.176252203352786,0.0,0.0,0,9504000.0,0.08444892080207511,1.0,1.176252203352786,2176084.7872992796,8587129.501090826,0.0,0.0,0.9758634182027341,1.0,0.0,0.0005163767024256,0.9758634182027341,99329.70404286135,0.0,99329.70404286135
2025-06-08 00:00:00+00:00,0.0,99329.70404286135,1.1764555923797189,0.0,0.0,0,9417600.0,0.07996751022945547,1.0,1.1764555923797189,2072078.6647333577,8907063.935558364,0.0,0.0,0.9772879883159218,1.0,0.0,0.0005575060977408,0.9772879883159218,99329.70404286135,0.0,99329.70404286135
2025-06-09 00:00:00+00:00,0.0,99329.70404286135,1.176643797182438,0.0,0.0,0,9331200.0,0.0801807203349505,1.0,1.176643797182438,2051614.3588666695,8783224.622232448,0.0,0.0,0.9774368992843576,1.0,0.0,0.0001794420633312,0.9774368992843576,99329.70404286135,0.0,99329.70404286135
2025-06-10 00:00:00+00:00,0.0,99329.70404286135,1.1768347046606684,0.0,0.0,0,9244800.0,0.07935399459052594,1.0,1.1768347046606684,2052428.7556485338,8926648.765012389,0.0,0.0,0.9778629218770933,1.0,0.0,0.00017941689838080001,0.9778629218770933,99329.70404286135,0.0,99329.70404286135
2025-06-11 00:00:00+00:00,0.0,99329.70404286135,1.1770021179839696,0.0,0.0,0,9158400.0,0.086217788462289,1.0,1.1770021179839696,2306125.399981017,8799409.165381504,0.0,0.0,0.9762686321655331,1.0,0.0,0.0001793917387008,0.9762686321655331,99329.70404286135,0.0,99329.70404286135
2025-06-12 00:00:00+00:00,0.0,0.0,1.1771822647397103,439797.88035353646,330168.567504878,0,9072000.0,0.08745939895575239,1.0,1.1771822647397103,2290651.784852109,8536460.485014312,0.0,0.0,0.9761690020612342,1.0,0.0,0.00017936658420480002,0.9761690020612342,0.0,99148.49046847981,99148.49046847981
2025-06-13 00:00:00+00:00,0.0,0.0,1.177329679638129,439797.88035353646,330227.7857195975,0,8985600.0,0.08029240532518722,1.0,1.177329679638129,2047221.5327612907,8745451.511930652,0.0,0.0,0.9782346014303996,1.0,0.0,0.000179341435152,0.9782346014303996,0.0,99997.71847797884,99997.71847797884
2025-06-14 00:00:00+00:00,0.0,0.0,1.1774606871699125,439797.88035353646,330287.0062508842,0,8899200.0,0.07867427112907976,1.0,1.1774606871699125,2214179.4236048255,9755580.492292859,0.0,0.0,0.9788555826349364,1.0,0.0,0.0001793162913696,0.9788555826349364,0.0,100211.6041641868,100211.6041641868
