market,variant,pendle,morpho,hedge,bar,bars,start,end,target_ltv,leverage_at_entry,pt_apy_at_entry,borrow_apy_mean,funding_apr_mean,boros_mark_apr_mean,realised_apy,final_equity,max_drawdown,hedge_coverage_mean,hedge_pnl,liquidations,min_health_factor,debt_changes,hedge_margin_share,hedge_ratio
susde_27nov2025_usds,none,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.474849969435721,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.29382505542542847,106621.54945625147,-0.0037444425833498274,,0.0,0,1.5352177914002372,1,0.0,0.0
susde_27nov2025_usds,boros,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,BINANCE-ETHUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.2271874727000722,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.26059252637290165,105934.98615513614,-0.0033718420939673477,0.19218448831084006,-26.602581649955027,0,1.5352179092991536,1,0.1,0.5
susde_27nov2025_usds,boros,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,BINANCE-ETHUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.2271874727000722,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.2593370679947482,105908.38357348618,-0.0033718420939673477,0.3843689766216801,-53.20516329992279,0,1.5352179092991536,1,0.1,1.0
susde_27nov2025_usds,boros,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,BINANCE-ETHUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,1.7320007296087783,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.19873878796777422,104619.51300535892,-0.002625446607951498,0.19218448831084006,-20.691679058141744,0,1.5352181451146094,1,0.3,0.5
susde_27nov2025_usds,boros,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,BINANCE-ETHUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,1.7320007296087783,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.19779844736090824,104598.8213263008,-0.002625446607951498,0.3843689766216801,-41.383358116272575,0,1.5352181451146094,1,0.3,1.0
susde_27nov2025_usds,perp,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,ETHUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.2273137515362187,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.2601455253962741,105919.51117590372,-0.0033630896115964815,0.04982353655041694,-42.07756088237147,0,1.5352179092991536,1,0.1,0.5
susde_27nov2025_usds,perp,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,ETHUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.2273137515362187,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.2601455253962741,105919.51117590372,-0.0033630896115964815,0.04982353655041694,-42.07756088237147,0,1.5352179092991536,1,0.1,1.0
susde_27nov2025_usds,perp,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,ETHUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,1.732295315292891,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.19475407631302488,104513.97200176994,-0.0026832336144893,0.19216923316590506,-126.23268264712533,0,1.5352181451146094,1,0.3,0.5
susde_27nov2025_usds,perp,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,ETHUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,1.732295315292891,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.19475407631302488,104513.97200176994,-0.0026832336144893,0.19216923316590506,-126.23268264712533,0,1.5352181451146094,1,0.3,1.0
susde_27nov2025_usds,none,PT-sUSDe-27NOV2025,PT-sUSDE-27NOV2025 / USDS,,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,3.1990382385662572,0.09414837751608274,0.027568914616666707,0.03972683548387097,0.05442647248746811,0.3807193004756555,108357.82408792182,-0.004887268918578713,,0.0,0,1.3309312185048663,1,0.0,0.0
