timestamp,PT_amount,PT_cash,PT_py_index_high,LENDING_collateral,LENDING_borrowed,LENDING_liquidation_count,PT_seconds_to_expiry,PT_implied_apy,PT_asset_price,PT_sy_exchange_rate,PT_total_pt,PT_total_sy,PT_scalar_root,PT_ln_fee_rate_root,LENDING_collateral_price,LENDING_debt_price,LENDING_lending_rate,LENDING_borrowing_rate,LENDING_collateral_market_price,PT_balance,LENDING_balance,net_balance
2026-08-02 00:00:00+00:00,0.0,0.0,1.1049163316988413,438737.17412768566,331980.5148393017,0,10022400.0,0.05254060318860576,1.0,1.1049163316988413,1156867.8503629519,3114869.502320892,0.0,0.0,0.9838577433411293,1.0,0.0,5.853437189999999e-06,0.9838577433411293,0.0,99674.45121782721,99674.45121782721
2026-08-02 01:00:00+00:00,0.0,0.0,1.1049206952183488,438737.17412768566,331982.4585786504,0,10018800.0,0.05254044100489308,1.0,1.1049206952183488,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838635426931098,1.0,0.0,5.8549630824e-06,0.9838635426931098,0.0,99675.05186977825,99675.05186977825
2026-08-02 02:00:00+00:00,0.0,0.0,1.1049250587359736,438737.17412768566,331984.40283614694,0,10015200.0,0.05254044103004962,1.0,1.1049250587359736,1156867.8503629519,3114894.1382452925,0.0,0.0,0.983869293891345,1.0,0.0,5.8564895615999995e-06,0.983869293891345,0.0,99675.63087674323,99675.63087674323
2026-08-02 03:00:00+00:00,0.0,0.0,1.1049294222708308,438737.17412768566,331986.3476119927,0,10011600.0,0.05254044105522393,1.0,1.1049294222708308,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838750451231992,1.0,0.0,5.8580166204e-06,0.9838750451231992,0.0,99676.20938010898,99676.20938010898
2026-08-02 04:00:00+00:00,0.0,0.0,1.1049337858229207,438737.17412768566,331988.2929063915,0,10008000.0,0.052540441080416,1.0,1.1049337858229207,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838807963886725,1.0,0.0,5.859544266e-06,0.9838807963886725,0.0,99676.78737967159,99676.78737967159
2026-08-02 05:00:00+00:00,0.0,0.0,1.1049381493922428,438737.17412768566,331990.2387195483,0,10004400.0,0.0525404411056265,1.0,1.1049381493922428,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838865476877648,1.0,0.0,5.861072502e-06,0.9838865476877648,0.0,99677.3648752261,99677.3648752261
2026-08-02 06:00:00+00:00,0.0,0.0,1.104942512978797,438737.17412768566,331992.1850516657,0,10000800.0,0.052540441130854765,1.0,1.104942512978797,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838922990204766,1.0,0.0,5.8626013212e-06,0.9838922990204766,0.0,99677.9418665701,99677.9418665701
2026-08-02 07:00:00+00:00,0.0,0.0,1.104946876582584,438737.17412768566,331994.1319029464,0,9997200.0,0.0525404411561019,1.0,1.104946876582584,1156867.8503629519,3114894.1382452925,0.0,0.0,0.9838980503868077,1.0,0.0,5.864130723600001e-06,0.9838980503868077,0.0,99678.51835350087,99678.51835350087
2026-08-02 08:00:00+00:00,0.0,0.0,1.1049512278937244,438737.17412768566,331996.07927359524,0,9993600.0,0.05264490703897451,1.0,1.1049512278937244,1161301.5514845203,3110946.7065217644,0.0,0.0,0.9838728578762702,1.0,0.0,5.8656607164e-06,0.9838728578762702,0.0,99665.51809196966,99665.51809196966
2026-08-02 09:00:00+00:00,0.0,0.0,1.1049555933019635,438737.17412768566,331998.0271638138,0,9990000.0,0.0526298853560947,1.0,1.1049555933019635,1160663.359035395,3111515.0075710034,0.0,0.0,0.9838830680415991,1.0,0.0,5.8671912888e-06,0.9838830680415991,0.0,99668.04978083482,99668.04978083482
2026-08-02 10:00:00+00:00,0.0,0.0,1.104959956957407,438737.17412768566,331999.97557380586,0,9986400.0,0.052629885381440644,1.0,1.104959956957407,1160663.359035395,3111515.0075710034,0.0,0.0,0.9838888288980937,1.0,0.0,5.8687224479999995e-06,0.9838888288980937,0.0,99668.62887274183,99668.62887274183
2026-08-02 11:00:00+00:00,0.0,0.0,1.104964320630083,438737.17412768566,332001.92450377526,0,9982800.0,0.05262988540680458,1.0,1.104964320630083,1160663.359035395,3111515.0075710034,0.0,0.0,0.9838945897883197,1.0,0.0,5.870254193999999e-06,0.9838945897883197,0.0,99669.2074594706,99669.2074594706
2026-08-02 12:00:00+00:00,0.0,0.0,1.1049686843199922,438737.17412768566,332003.87395392585,0,9979200.0,0.052629885432186496,1.0,1.1049686843199922,1160663.359035395,3111515.0075710034,0.0,0.0,0.983900350712277,1.0,0.0,5.8717865268000005e-06,0.983900350712277,0.0,99669.78554081742,99669.78554081742
2026-08-02 13:00:00+00:00,0.0,0.0,1.104973048186843,438737.17412768566,332005.82392445905,0,9975600.0,0.05262853009674551,1.0,1.104973048186843,1160605.7897855006,3111566.2726095063,0.0,0.0,0.9839065124127248,1.0,0.0,5.8733194392e-06,0.9839065124127248,0.0,99670.53893732646,99670.53893732646
2026-08-02 14:00:00+00:00,0.0,0.0,1.1049774119112186,438737.17412768566,332007.7744155799,0,9972000.0,0.0526285301221634,1.0,1.1049774119112186,1160605.7897855006,3111566.2726095063,0.0,0.0,0.9839122732618708,1.0,0.0,5.874852942e-06,0.9839122732618708,0.0,99671.11594488053,99671.11594488053
2026-08-02 15:00:00+00:00,0.0,0.0,1.1049819225039008,438737.17412768566,332009.7254274935,0,9968400.0,0.051383031093271914,1.0,1.1049819225039008,1108514.2150939242,3158035.00130173,0.0,0.0,0.9842863194270535,1.0,0.0,5.8763870352e-06,0.9842863194270535,0.0,99833.2728904725,99833.2728904725
2026-08-02 16:00:00+00:00,0.0,0.0,1.104986281421901,438737.17412768566,332011.67696040135,0,9964800.0,0.05142406936792465,1.0,1.104986281421901,1110206.0051257266,3156528.121604842,0.0,0.0,0.9842798099204597,1.0,0.0,5.8779217080000005e-06,0.9842798099204597,0.0,99828.46539503674,99828.46539503674
2026-08-02 17:00:00+00:00,0.0,0.0,1.1049906451985367,438737.17412768566,332013.6290145061,0,9961200.0,0.05142406939280075,1.0,1.1049906451985367,1110206.0051257266,3156528.121604842,0.0,0.0,0.9842854443133635,1.0,0.0,5.8794569639999995e-06,0.9842854443133635,0.0,99828.98535855248,99828.98535855248
2026-08-02 18:00:00+00:00,0.0,0.0,1.1049948955191304,438737.17412768566,332015.5815900116,0,9957600.0,0.052386375485073744,1.0,1.1049948955191304,1150378.1495670339,3120777.7461908036,0.0,0.0,0.9840067992415835,1.0,0.0,5.8809928068e-06,0.9840067992415835,0.0,99704.78083166963,99704.78083166963
2026-08-02 19:00:00+00:00,0.0,0.0,1.1049992447762966,438737.17412768566,332017.5346871218,0,9954000.0,0.05238643849767333,1.0,1.1049992447762966,1150378.0733746015,3120777.8158231606,0.0,0.0,0.9840125162441306,1.0,0.0,5.882529236400001e-06,0.9840125162441306,0.0,99705.33599610144,99705.33599610144
2026-08-02 20:00:00+00:00,0.0,0.0,1.1050036231578868,438737.17412768566,332019.4883060418,0,9950400.0,0.05238637371990418,1.0,1.1050036231578868,1150378.0733746015,3120777.8158231606,0.0,0.0,0.9840182709949621,1.0,0.0,5.8840662564e-06,0.9840182709949621,0.0,99705.90720029903,99705.90720029903
2026-08-02 21:00:00+00:00,0.0,0.0,1.105007987003008,438737.17412768566,332021.4424469719,0,9946800.0,0.05238637374533073,1.0,1.105007987003008,1150378.0733746015,3120777.8158231606,0.0,0.0,0.9840240066537286,1.0,0.0,5.8856038524e-06,0.9840240066537286,0.0,99706.46950608795,99706.46950608795
2026-08-02 22:00:00+00:00,0.0,0.0,1.1050123541135242,438737.17412768566,332023.3971101172,0,9943200.0,0.052358816049072,1.0,1.1050123541135242,1149214.7691787994,3121813.8309608013,0.0,0.0,0.984037866971701,1.0,0.0,5.887142038800001e-06,0.984037866971701,0.0,99710.5958796824,99710.5958796824
2026-08-02 23:00:00+00:00,0.0,0.0,1.1050167179931254,438737.17412768566,332025.3522956804,0,9939600.0,0.05235881607452142,1.0,1.1050167179931254,1149214.7691787994,3121813.8309608013,0.0,0.0,0.9840435998030901,1.0,0.0,5.8886808084e-06,0.9840435998030901,0.0,99711.15590036259,99711.15590036259
2026-08-03 00:00:00+00:00,0.0,0.0,1.1050210818899606,438737.17412768566,332027.30800386664,0,9936000.0,0.05235881609999016,1.0,1.1050210818899606,1149214.7691787994,3121813.8309608013,0.0,0.0,0.9840493326678773,1.0,0.0,5.8902201684e-06,0.9840493326678773,0.0,99711.71541307273,99711.71541307273
2026-08-03 01:00:00+00:00,0.0,0.0,1.1050254458040294,438737.17412768566,332029.26423487876,0,9932400.0,0.05235881612547666,1.0,1.1050254458040294,1149214.7691787994,3121813.8309608013,0.0,0.0,0.9840550655660634,1.0,0.0,5.8917601116e-06,0.9840550655660634,0.0,99712.27441761032,99712.27441761032
2026-08-03 02:00:00+00:00,0.0,0.0,1.1050298097353322,438737.17412768566,332031.2209889194,0,9928800.0,0.05235881615098226,1.0,1.1050298097353322,1149214.7691787994,3121813.8309608013,0.0,0.0,0.984060798497648,1.0,0.0,5.893300638e-06,0.984060798497648,0.0,99712.83291377261,99712.83291377261
2026-08-03 03:00:00+00:00,0.0,0.0,1.1050341736838731,438737.17412768566,332033.17826619244,0,9925200.0,0.05235881613689042,1.0,1.1050341736838731,1149214.7691787994,3121813.837138657,0.0,0.0,0.9840665314742909,1.0,0.0,5.8948417512e-06,0.9840665314742909,0.0,99713.39090647118,99713.39090647118
2026-08-03 04:00:00+00:00,0.0,0.0,1.1050385376496439,438737.17412768566,332035.13606690196,0,9921600.0,0.05235881616243265,1.0,1.1050385376496439,1149214.7691787994,3121813.837138657,0.0,0.0,0.9840722644726698,1.0,0.0,5.8963834512e-06,0.9840722644726698,0.0,99713.94838526973,99713.94838526973
2026-08-03 05:00:00+00:00,0.0,0.0,1.105042903357693,438737.17412768566,332037.0943912495,0,9918000.0,0.05234418143506758,1.0,1.105042903357693,1148597.32779063,3122363.7274247357,0.0,0.0,0.9840823015071901,1.0,0.0,5.8979257308000004e-06,0.9840823015071901,0.0,99716.39368108421,99716.39368108421
2026-08-03 06:00:00+00:00,0.0,0.0,1.105047267637804,438737.17412768566,332039.0532394415,0,9914400.0,0.05234180719567405,1.0,1.105047267637804,1148497.1786476525,3122452.9200325804,0.0,0.0,0.9840887310518663,1.0,0.0,5.8994686044e-06,0.9840887310518663,0.0,99717.25571315445,99717.25571315445
2026-08-03 07:00:00+00:00,0.0,0.0,1.1050516213361172,438737.17412768566,332041.0126116794,0,9910800.0,0.05242935403167692,1.0,1.1050516213361172,1152193.897093601,3119161.1411389164,0.0,0.0,0.9840687348005364,1.0,0.0,5.9010120576e-06,0.9840687348005364,0.0,99706.52324211487,99706.52324211487
2026-08-03 08:00:00+00:00,0.0,0.0,1.1050559853707915,438737.17412768566,332042.97250816843,0,9907200.0,0.05242935405732885,1.0,1.1050559853707915,1152193.897093601,3119161.1411389164,0.0,0.0,0.9840744753412622,1.0,0.0,5.9025561012e-06,0.9840744753412622,0.0,99707.08193424187,99707.08193424187
2026-08-03 09:00:00+00:00,0.0,0.0,1.1050605298623517,438737.17412768566,332044.9329291114,0,9903600.0,0.05089958310330167,1.0,1.1050605298623517,1088733.054974561,3175704.005103635,0.0,0.0,0.984529856472568,1.0,0.0,5.904100728e-06,0.984529856472568,0.0,99904.91414399899,99904.91414399899
2026-08-03 10:00:00+00:00,0.0,0.0,1.1050646842893064,438737.17412768566,332046.8938747099,0,9900000.0,0.05267714211976671,1.0,1.1050646842893064,1162706.362717534,3109827.1960748783,0.0,0.0,0.9840132318480262,1.0,0.0,5.905645934400001e-06,0.9840132318480262,0.0,99676.29077054432,99676.29077054432
2026-08-03 11:00:00+00:00,0.0,0.0,1.1050690483755683,438737.17412768566,332048.85534517036,0,9896400.0,0.052677142145599154,1.0,1.1050690483755683,1162706.362717534,3109827.1960748783,0.0,0.0,0.9840189985094561,1.0,0.0,5.9071917348000004e-06,0.9840189985094561,0.0,99676.85934882372,99676.85934882372
