market,variant,pendle,morpho,hedge,bar,bars,start,end,target_ltv,leverage_at_entry,pt_apy_at_entry,borrow_apy_mean,funding_apr_mean,boros_mark_apr_mean,realised_apy,final_equity,max_drawdown,hedge_coverage_mean,hedge_pnl,liquidations,min_health_factor,debt_changes,hedge_margin_share,hedge_ratio
usde_27nov2025_usds_btc,none,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.474857089533967,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.1961880693914393,104482.90421771005,-0.0027885981307490537,,0.0,0,1.535189729764686,1,0.0,0.0
usde_27nov2025_usds_btc,boros,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BINANCE-BTCUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.2270958971824646,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.17584506976833225,104052.01336985608,-0.00251029156807836,0.1964847890249143,11.044336547323837,0,1.535190146824605,1,0.1,0.5
usde_27nov2025_usds_btc,boros,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BINANCE-BTCUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.2270958971824646,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.17634030630427877,104063.0577064034,-0.00251029156807836,0.3929695780498286,22.08867309463676,0,1.535190146824605,1,0.1,1.0
usde_27nov2025_usds_btc,boros,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BINANCE-BTCUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,1.7318276265846553,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.13488517176284986,103161.45472962694,-0.0019533892812199083,0.1964847890249143,8.591189460439637,0,1.535190981165167,1,0.3,0.5
usde_27nov2025_usds_btc,boros,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BINANCE-BTCUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,1.7318276265846553,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.13526018488027436,103170.04591908737,-0.0019533892812199083,0.3929695780498286,17.18237892086472,0,1.535190981165167,1,0.3,1.0
usde_27nov2025_usds_btc,perp,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BTCUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.2272222204606016,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.1768672827874369,104068.90316101114,-0.002495585026476399,0.050587861960635916,27.934127702375918,0,1.535190146824605,1,0.1,0.5
usde_27nov2025_usds_btc,perp,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BTCUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,2.2272222204606016,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.1768672827874369,104068.90316101114,-0.002495585026476399,0.050587861960635916,27.934127702375918,0,1.535190146824605,1,0.1,1.0
usde_27nov2025_usds_btc,perp,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BTCUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,1.732122252861313,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.13893975779489032,103236.66592327363,-0.0019092586427460478,0.19509849315117495,83.80238310712593,0,1.535190981165167,1,0.3,0.5
usde_27nov2025_usds_btc,perp,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BTCUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.6,1.732122252861313,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.13893975779489032,103236.66592327363,-0.0019092586427460478,0.19509849315117495,83.80238310712593,0,1.535190981165167,1,0.3,1.0
usde_27nov2025_usds_btc,none,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,3.199089940479917,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.2492666193875599,105595.28040602751,-0.0036293855726651225,,0.0,0,1.3308997059146899,1,0.0,0.0
usde_27nov2025_usds_btc,boros,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BINANCE-BTCUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,2.878722634899848,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.2231690384254723,105060.25013906145,-0.0032673326173123796,0.1964847890249143,16.462112836896267,0,1.3309010679038435,1,0.1,0.5
usde_27nov2025_usds_btc,boros,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BINANCE-BTCUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,2.878722634899848,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.22392960918563087,105076.71225189837,-0.0032673326173123796,0.3929695780498286,32.92422567379981,0,1.3309010679038435,1,0.1,1.0
usde_27nov2025_usds_btc,boros,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BINANCE-BTCUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,2.238407725792108,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.17059701234778157,103948.25513946878,-0.002542766336078195,0.1964847890249143,12.805950014724658,0,1.3309037928083935,1,0.3,0.5
usde_27nov2025_usds_btc,boros,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BINANCE-BTCUSDT-28NOV2025,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,2.238407725792108,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.17116926317418657,103961.06108948348,-0.002542766336078195,0.3929695780498286,25.611900029431126,0,1.3309037928083935,1,0.3,1.0
usde_27nov2025_usds_btc,perp,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BTCUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,2.878885968548225,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.2239745041532064,105071.72215392694,-0.00325263119691932,0.033939104794025045,27.934127702375918,0,1.3309010679038435,1,0.1,0.5
usde_27nov2025_usds_btc,perp,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BTCUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,2.878885968548225,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.2239745041532064,105071.72215392694,-0.00325263119691932,0.033939104794025045,27.934127702375918,0,1.3309010679038435,1,0.1,1.0
usde_27nov2025_usds_btc,perp,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BTCUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,2.2387886142395335,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.17456482345728808,104019.25157256119,-0.002498648709134632,0.13088666722740708,83.80238310712593,0,1.3309037928083935,1,0.3,0.5
usde_27nov2025_usds_btc,perp,PT-USDe-27NOV2025,PT-USDe-27NOV2025 / USDS,BTCUSDT basis,day,93,2025-08-27 00:00:00+00:00,2025-11-27 00:00:00+00:00,0.7,2.2387886142395335,0.09332931754802609,0.027568660530557728,0.04908833978494624,0.056519944978562046,0.17456482345728808,104019.25157256119,-0.002498648709134632,0.13088666722740708,83.80238310712593,0,1.3309037928083935,1,0.3,1.0
