timestamp,PT_amount,PT_cash,PT_py_index_high,HEDGE_collateral,HEDGE_positions_0_amount,HEDGE_positions_0_entry_price,HEDGE_positions_0_max_leverage,BOROS_collateral,BOROS_size,BOROS_entry_rate,BOROS_realized_settlements,BOROS_liquidation_count,PT_seconds_to_expiry,PT_implied_apy,PT_asset_price,PT_sy_exchange_rate,PT_total_pt,PT_total_sy,PT_scalar_root,PT_ln_fee_rate_root,HEDGE_mark_price,HEDGE_funding_rate,BOROS_seconds_to_expiry,BOROS_mark_rate,BOROS_funding_rate,BOROS_funding_period_seconds,BOROS_underlying_price,PT_balance,HEDGE_balance,BOROS_balance,net_balance
2026-05-12 00:00:00+00:00,27.312128543496236,0.0,1.0,29979.08683480215,-26.280513263113548,2273.62,10.0,9981.419614481756,-26.280513263113548,0.0199305317288916,0.0,0,51580800.0,0.023819714388773727,2273.62,1.0,107.13253805144616,1290.7964741357332,86.36,0.000499875,2273.62,8.61e-05,19612800.0,0.0199305317288916,8.61e-05,86400.0,2273.62,59751.900565280215,29979.08683480215,9981.419614481756,99712.40701456412
2026-05-13 00:00:00+00:00,27.312128543496236,0.0,1.0,29983.188863289466,-26.280513263113548,2273.62,10.0,9980.39466923757,-26.280513263113548,0.0199305317288916,-1.0249452441860911,0,51494400.0,0.023819714388773727,2257.54,1.0,107.13253805144616,1290.7964741357332,86.36,0.000499875,2257.54,6.914e-05,19526400.0,0.019894823247636036,6.914e-05,86400.0,2257.54,59333.136442827185,30405.77951656033,9981.706434877306,99720.62239426482
2026-05-14 00:00:00+00:00,27.312128543496236,0.0,1.0,29992.43321065557,-26.280513263113548,2273.62,10.0,9974.260826485255,-26.280513263113548,0.0199305317288916,-7.1587879965006955,0,51408000.0,0.023819714388773727,2282.06,1.0,107.13253805144616,1290.7964741357332,86.36,0.000499875,2282.06,0.00015413999999999998,19440000.0,0.019332039850084196,0.00015413999999999998,86400.0,2282.06,59981.444531146095,29770.625678714892,9996.387127522472,99748.45733738346
2026-05-15 00:00:00+00:00,27.312128543496236,0.0,1.0,29993.071363728828,-26.280513263113548,2273.62,10.0,9976.653577371359,-26.280513263113548,0.0199305317288916,-4.766037110397694,0,51321600.0,0.023819714388773727,2223.66,1.0,108.69481051888651,1289.7847214289502,86.36,0.000499875,2223.66,1.092e-05,19353600.0,0.017611601421535904,1.092e-05,86400.0,2223.66,58450.23416458263,31306.04580635398,10059.819436300106,99816.09940723672
2026-05-16 00:00:00+00:00,27.312128543496236,0.0,1.0,30003.421753748506,-26.280513263113548,2273.62,10.0,9969.274118215242,-26.280513263113548,0.0199305317288916,-12.145496266513709,0,51235200.0,0.023819714388773727,2179.66,1.0,108.69481051888651,1289.7847214289502,86.36,0.000499875,2179.66,0.00018069,19267200.0,0.017611601421535904,0.00018069,86400.0,2179.66,57297.36306564195,32472.738779950654,10050.43042821164,99820.53227380425
2026-05-17 00:00:00+00:00,27.312128543496236,0.0,1.0,30013.13721987094,-26.280513263113548,2273.62,10.0,9962.461731576615,-26.280513263113548,0.0199305317288916,-18.95788290513969,0,51148800.0,0.023819714388773727,2129.88,1.0,108.69481051888651,1289.7847214289502,86.36,0.000499875,2129.88,0.00017357,19180800.0,0.017611601421535904,0.00017357,86400.0,2129.88,55992.39265285051,33790.69819631088,10041.408941265672,99824.49979042706
2026-05-18 00:00:00+00:00,27.312128543496236,0.0,1.0,30017.46558535768,-26.280513263113548,2273.62,10.0,9961.035232481518,-26.280513263113548,0.0199305317288916,-20.384382000238073,0,51062400.0,0.023819714388773727,2128.99,1.0,108.69481051888651,1289.7847214289502,86.36,0.000499875,2128.99,7.736e-05,19094400.0,0.017397365611292764,7.736e-05,86400.0,2128.99,55972.60525473291,33818.41621860179,10046.851682306125,99837.87315564082
2026-05-19 00:00:00+00:00,27.312128543496236,0.0,1.0,30028.159001372005,-26.280513263113548,2273.62,10.0,9953.219162040805,-26.280513263113548,0.0199305317288916,-28.200452440950794,0,50976000.0,0.023819714388773727,2111.0,1.0,108.69481051888651,1289.7847214289502,86.36,0.000499875,2111.0,0.00019275,19008000.0,0.017755056725720846,0.00019275,86400.0,2111.0,55503.21536367573,34301.896068219525,10025.964638042957,99831.07606993822
2026-05-20 00:00:00+00:00,27.312128543496236,0.0,1.0,30035.914620093743,-26.280513263113548,2273.62,10.0,9948.364878130998,-26.280513263113548,0.0199305317288916,-33.05473635075721,0,50889600.0,0.02449306755884506,2128.6,1.0,107.72350300904466,1290.5413201425763,86.36,0.000499875,2128.6,0.00013864,18921600.0,0.017515574844934413,0.00013864,86400.0,2128.6,55910.22087301707,33847.11465351047,10029.421506036686,99786.75703256423
2026-05-21 00:00:00+00:00,27.312128543496236,0.0,1.0,30042.772965768283,-26.280513263113548,2273.62,10.0,9944.413564712491,-26.280513263113548,0.0199305317288916,-37.00604976926368,0,50803200.0,0.024493067569651972,2132.78,1.0,107.72350300904466,1290.5413201425763,86.36,0.000499875,2132.78,0.00012236000000000001,18835200.0,0.01749486906631998,0.00012236000000000001,86400.0,2132.78,56023.727571443625,33744.120453745185,10025.951680267612,99793.79970545642
2026-05-22 00:00:00+00:00,27.312128543496236,0.0,1.0,30050.349966448186,-26.280513263113548,2273.62,10.0,9939.651183200089,-26.280513263113548,0.0199305317288916,-41.76843128166651,0,50716800.0,0.024493067580495742,2064.98,1.0,107.72350300904466,1290.5413201425763,86.36,0.000499875,2064.98,0.00013962,18748800.0,0.019690869777807575,0.00013962,86400.0,2064.98,54246.35772036759,35533.516253664195,9947.383607064658,99727.25758109643
2026-05-23 00:00:00+00:00,27.312128543496236,0.0,1.0,30059.554690915713,-26.280513263113548,2273.62,10.0,9933.331737111117,-26.280513263113548,0.0199305317288916,-48.08787737063891,0,50630400.0,0.024493067591376372,2116.82,1.0,107.72350300904466,1290.5413201425763,86.36,0.000499875,2116.82,0.00016546,18662400.0,0.020125451193332734,0.00016546,86400.0,2116.82,55611.86448182056,34180.33917057191,9926.914710074423,99719.11836246689
2026-05-24 00:00:00+00:00,27.312128543496236,0.0,1.0,30070.72731066026,-26.280513263113548,2273.62,10.0,9925.020093011077,-26.280513263113548,0.0199305317288916,-56.39952147067823,0,50544000.0,0.024493067602294527,2098.99,1.0,107.72350300904466,1290.5413201425763,86.36,0.000499875,2098.99,0.00020254,18576000.0,0.026047670194910773,0.00020254,86400.0,2098.99,55147.10097908386,34660.09334179778,9726.255914094332,99533.45023497597
2026-05-25 00:00:00+00:00,27.312128543496236,0.0,1.0,30078.56098246434,-26.280513263113548,2273.62,10.0,9920.064639116546,-26.280513263113548,0.0199305317288916,-61.354975365209285,0,50457600.0,0.024493067613249986,2111.64,1.0,107.72350300904466,1290.5413201425763,86.36,0.000499875,2111.64,0.00014116,18489600.0,0.02669834024981546,0.00014116,86400.0,2111.64,55483.134627422354,34335.478520823475,9699.861911265592,99518.47505951142
