timestamp,PT_amount,PT_cash,PT_py_index_high,HEDGE_collateral,HEDGE_positions_0_amount,HEDGE_positions_0_entry_price,HEDGE_positions_0_max_leverage,PT_seconds_to_expiry,PT_implied_apy,PT_asset_price,PT_sy_exchange_rate,PT_total_pt,PT_total_sy,PT_scalar_root,PT_ln_fee_rate_root,HEDGE_mark_price,HEDGE_funding_rate,PT_balance,HEDGE_balance,net_balance
2026-03-01 00:00:00+00:00,35.69638446201792,0.0,1.2281235404869486,33310.13614387927,-34.188955856370946,1938.57,10.0,57801600.0,0.023819714388773727,1938.57,1.2281235404869486,100.5809444441255,957.7830762282031,86.36,0.000499875,1938.57,6.871e-05,66277.68415448502,33310.13614387927,99587.82029836428
2026-03-02 00:00:00+00:00,35.69638446201792,0.0,1.2282035589714688,33297.201702121565,-34.188955856370946,1938.57,10.0,57715200.0,0.023819714388773727,2026.69,1.2282035589714688,100.5809444441255,957.7830762282031,86.36,0.000499875,2026.69,-0.00018667,69294.88393143803,30284.470912058154,99579.35484349618
2026-03-03 00:00:00+00:00,35.69638446201792,0.0,1.2282876799418714,33292.180202529395,-34.188955856370946,1938.57,10.0,57628800.0,0.023819714388773727,1981.85,1.2282876799418714,100.5809444441255,957.8560086491118,86.36,0.000499875,1981.85,-7.411000000000001e-05,67766.12266919158,31812.48219306566,99578.60486225724
2026-03-04 00:00:00+00:00,35.69638446201792,0.0,1.2283723943964286,33291.53766680787,-34.188955856370946,1938.57,10.0,57542400.0,0.023819714388773727,2125.98,1.2283723943964286,100.5809444441255,957.8573471210447,86.36,0.000499875,2125.98,-8.840000000000003e-06,72699.10106253621,26884.185449765384,99583.2865123016
2026-03-05 00:00:00+00:00,35.69638446201792,0.0,1.2284544206754295,33288.965260510326,-34.188955856370946,1938.57,10.0,57456000.0,0.023819714388773727,2072.18,1.2284544206754295,100.5809444441255,957.8548538615923,86.36,0.000499875,2072.18,-3.6309999999999996e-05,70863.9494962696,28720.978868540606,99584.92836481021
2026-03-06 00:00:00+00:00,35.69638446201792,0.0,1.2285331523737852,33283.64740915131,-34.188955856370946,1938.57,10.0,57369600.0,0.023819714388773727,1977.66,1.2285331523737852,100.58043801135246,957.855246599217,86.36,0.000499875,1977.66,-7.864999999999999e-05,67635.93761401571,31947.20112472576,99583.13873874147
2026-03-07 00:00:00+00:00,35.69638446201792,0.0,1.2286116012951944,33278.14855503588,-34.188955856370946,1938.57,10.0,57283200.0,0.023819714388773727,1968.39,1.2286116012951944,100.58043706124855,958.9840096080763,86.36,0.000499875,1968.39,-8.171e-05,67323.24560658168,32258.63389139889,99581.87949798057
2026-03-08 00:00:00+00:00,35.69638446201792,0.0,1.2286902483210973,33264.20720959383,-34.188955856370946,1938.57,10.0,57196800.0,0.023819714388773727,1935.97,1.2286902483210973,100.58043706124855,958.9840096080763,86.36,0.000499875,1935.97,-0.00021063,66218.68125443556,33353.09849482039,99571.77974925595
2026-03-09 00:00:00+00:00,35.69638446201792,0.0,1.2287700179293082,33254.326596674284,-34.188955856370946,1938.57,10.0,57110400.0,0.023819714388773727,1992.28,1.2287700179293082,100.58043706124855,958.9840097824695,86.36,0.000499875,1992.28,-0.00014506,68149.12579239746,31418.0377776286,99567.16357002607
2026-03-10 00:00:00+00:00,35.69638446201792,0.0,1.2288502338700713,33262.68201088766,-34.188955856370946,1938.57,10.0,57024000.0,0.023819714388773727,2035.39,1.2288502338700713,100.5804366891588,960.1010651912164,86.36,0.000499875,2035.39,0.00012007000000000001,69628.2628217683,29952.507304873823,99580.77012664212
2026-03-11 00:00:00+00:00,35.69638446201792,0.0,1.2289319489309607,33264.451870141536,-34.188955856370946,1938.57,10.0,56937600.0,0.023819714388773727,2050.99,1.2289319489309607,100.5804366891588,960.1010651912164,86.36,0.000499875,2050.99,2.5240000000000002e-05,70166.44540029149,29420.92945276832,99587.37485305981
2026-03-12 00:00:00+00:00,35.69638446201792,0.0,1.2290148877844562,33259.19263872177,-34.188955856370946,1938.57,10.0,56851200.0,0.023819714388773727,2072.6,1.2290148877844562,100.5804366891588,988.7274545737358,86.36,0.000499875,2072.6,-7.422e-05,70910.31855960854,28676.846885292372,99587.16544490091
2026-03-13 00:00:00+00:00,35.69638446201792,0.0,1.2291685129467367,33262.26668501093,-34.188955856370946,1938.57,10.0,56764800.0,0.023819714388773727,2091.01,1.2291685129467367,100.5804366891588,988.7274545737358,86.36,0.000499875,2091.01,4.3e-05,71544.79801807775,28050.502254265735,99595.30027234349
2026-03-14 00:00:00+00:00,35.69638446201792,0.0,1.2292497005717968,33259.55314766774,-34.188955856370946,1938.57,10.0,56678400.0,0.023819714388773727,2095.27,1.2292497005717968,97.57536424240851,991.8732637368225,86.36,0.000499875,2095.27,-3.7879999999999996e-05,71695.17952052531,27902.143764974415,99597.32328549973
