market,variant,oracle,leverage_at_entry,realised_apy,closed_form_apy,max_drawdown,min_health_factor,liquidations,debt_changes
reusd_10dec2026,base,market,4.330858367214293,0.1829047652389879,0.1880803256688749,-0.044297713911278014,1.181467604960182,0,0
reusd_10dec2026,unlevered,market,1.0,0.10802730353012624,0.10997327591594774,-0.010329610518494792,,0,0
reusd_10dec2026,ltv_0.50,market,1.9961064592640592,0.12998799430940977,0.13333150019193796,-0.020569488966292293,1.820882604154644,0,0
reusd_10dec2026,ltv_0.60,market,2.474886817790544,0.14067342612238676,0.14455867263860908,-0.025466376132125546,1.5247570554253866,0,0
reusd_10dec2026,ltv_0.70,market,3.199242548884503,0.15700163668519762,0.16154447115957452,-0.032844433671165074,1.3218374166529445,0,0
reusd_10dec2026,ltv_0.86,market,5.309547628199581,0.20570033344016614,0.2110301249016669,-0.05413210422195691,1.1195147998806345,0,0
reusd_10dec2026,loops_2,market,2.4412130631286706,0.1529645087744329,0.14376903905447608,-0.03453941559661344,1.2926907490972597,0,1
reusd_10dec2026,loops_4,market,3.3636007877204546,0.15167449785810483,0.16539859394798942,-0.034513440769992965,1.189425542679489,0,1
reusd_10dec2026,flash,market,5.072556012833403,0.20014661221246888,0.20547278386470352,-0.051756698454745065,1.131784621060445,0,0
reusd_10dec2026,gate_raw,market,4.330858367214293,-0.29717001920908115,0.1880803256688749,-0.0998269244495168,1.1797815789256296,0,12
reusd_10dec2026,no_gate,market,4.330858367214293,0.1829047652389879,0.1880803256688749,-0.044297713911278014,1.181467604960182,0,0
reusd_10dec2026,oracle_linear_6pct,linear,4.539228748108975,0.1877273896460505,0.19296651232507572,-0.04639703028858322,1.1904340657936772,0,0
