market,variant,oracle,leverage_at_entry,realised_apy,closed_form_apy,max_drawdown,min_health_factor,liquidations,debt_changes
usde_25sep2025,base,market,4.331572988768248,0.06295029022229337,0.02800416768582581,-0.04863735945817116,1.1878892187438135,0,3
usde_25sep2025,unlevered,market,1.0,0.08660034655542725,0.08660034655542748,-0.007835473745849031,,0,0
usde_25sep2025,ltv_0.50,market,1.9961069968961394,0.08964241291758945,0.06908067522895062,-0.02031919362743828,1.8309177805635624,0,3
usde_25sep2025,ltv_0.60,market,2.4748962975023856,0.08661081857640696,0.06065966101321593,-0.02625309616587057,1.5331549142732772,0,3
usde_25sep2025,ltv_0.70,market,3.1993361165900236,0.07964572051237173,0.047918110591648994,-0.03510207332055315,1.329095841794893,0,3
usde_25sep2025,ltv_0.86,market,5.311793304431962,0.04276965668180832,0.010763913565058625,-0.06015548065441323,1.1255172164230338,0,3
usde_25sep2025,loops_2,market,2.4419718393456074,0.03262895493597151,0.06123874105914118,-0.04528270227047815,1.2133562568999183,0,6
usde_25sep2025,loops_4,market,3.3646583725256862,0.05826058932633327,0.045010399275525664,-0.04955914411746698,1.1816426065867696,0,4
usde_25sep2025,flash,market,5.1606026251155415,0.04826461995911435,0.013423076704665249,-0.04863641627253679,1.1341380719785517,0,3
usde_25sep2025,gate_raw,market,4.331572988768248,-0.16456762618591436,0.02800416768582581,-0.08921339794225025,1.1809736412936138,0,21
usde_25sep2025,no_gate,market,4.331572988768248,0.034928207186630145,0.02800416768582581,-0.049894219818459096,1.1794391003295994,0,1
usde_25sep2025,oracle_linear_6pct,linear,4.420754922158832,0.06137822072476329,0.026435623175917466,-0.05028758980148462,1.1813035542659374,0,3
