,timestamp,UNISWAP_V3_token0_amount,UNISWAP_V3_token1_amount,UNISWAP_V3_entry_token0_amount,UNISWAP_V3_entry_token1_amount,UNISWAP_V3_price_init,UNISWAP_V3_price_lower,UNISWAP_V3_price_upper,UNISWAP_V3_liquidity,UNISWAP_V3_cash,UNISWAP_V3_tvl,UNISWAP_V3_volume,UNISWAP_V3_fees,UNISWAP_V3_price,UNISWAP_V3_balance,net_balance
0,2025-01-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1961128155759754e+18,1000000.0,324677701.81598914,76798.41961256703,230.3952588377011,3264.4,1000000.0,1000000.0
1,2025-01-11 01:00:00+00:00,498500.0000000002,153.64368227041285,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1961128155759754e+18,1499.9999999999418,324677701.81598914,76798.41961256703,230.3952588377011,3244.52,998500.0,998500.0
2,2025-01-11 02:00:00+00:00,499175.21952913573,153.43563818439955,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1961128155759754e+18,1506.9108514062696,324677701.81598914,76798.41961256703,230.3952588377011,3246.6,998826.2733100136,998826.2733100136
3,2025-01-11 03:00:00+00:00,495725.43322953716,154.49996471146412,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1961128155759754e+18,1513.8217028125991,324677701.81598914,76798.41961256703,230.3952588377011,3235.98,997198.0507393533,997198.0507393533
4,2025-01-11 04:00:00+00:00,496232.5358182946,154.3432948924224,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1961128155759754e+18,1520.7325542189249,324677701.81598914,76798.41961256703,230.3952588377011,3237.54,997445.8593185267,997445.8593185267
5,2025-01-11 05:00:00+00:00,498441.5573666807,153.66169549102227,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1961128155759754e+18,1527.6434056252544,324677701.81598914,76798.41961256703,230.3952588377011,3244.34,998499.9859216491,998499.9859216491
6,2025-01-11 06:00:00+00:00,495839.2168799114,154.46480457527147,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1961128155759754e+18,1534.554257031584,324677701.81598914,76798.41961256703,230.3952588377011,3236.33,997272.8521280312,997272.8521280312
7,2025-01-11 07:00:00+00:00,495296.2509446172,154.63261999559376,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1961128155759754e+18,1541.4651084379136,324677701.81598914,76798.41961256703,230.3952588377011,3234.66,997021.6666480023,997021.6666480023
8,2025-01-11 08:00:00+00:00,491615.34357934276,155.77257270862492,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1961128155759754e+18,1548.3759598442387,324677701.81598914,76798.41961256703,230.3952588377011,3223.35,995273.2417795331,995273.2417795331
9,2025-01-11 09:00:00+00:00,498009.68098733306,153.7948396526364,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1961128155759754e+18,1555.286811250564,324677701.81598914,76798.41961256703,230.3952588377011,3243.01,998323.1707404801,998323.1707404801
