,timestamp,HEDGE_collateral,HEDGE_positions_0_amount,HEDGE_positions_0_entry_price,HEDGE_positions_0_max_leverage,SPOT_amount,SPOT_cash,HEDGE_mark_price,HEDGE_funding_rate,SPOT_tvl,SPOT_volume,SPOT_fees,SPOT_liquidity,SPOT_price,HEDGE_balance,SPOT_balance,net_balance
0,2024-01-01 00:00:00+00:00,142000.85714285716,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42503.5,6.17991e-05,0,0,0,0,42503.5,142000.85714285716,856285.7142857143,998286.5714285715
1,2024-01-01 01:00:00+00:00,142035.2303490386,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42647.9,4.00063e-05,0,0,0,0,42647.9,139126.1132847296,859194.8313500233,998320.9446347528
2,2024-01-01 02:00:00+00:00,142072.47741458876,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42620.4,4.33791e-05,0,0,0,0,42620.4,139717.38195186213,858640.8097484409,998358.191700303
3,2024-01-01 03:00:00+00:00,142115.27012364974,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42369.8,5.01325e-05,0,0,0,0,42369.8,144808.82241934296,853592.161990021,998400.9844093639
4,2024-01-01 04:00:00+00:00,142158.2608484889,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42436.6,5.02852e-05,0,0,0,0,42436.6,143506.04430833846,854937.9308258648,998443.9751342032
5,2024-01-01 05:00:00+00:00,142207.19071046944,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42272.6,5.74541e-05,0,0,0,0,42272.6,146858.9575397558,851633.947456428,998492.9049961837
6,2024-01-01 06:00:00+00:00,142259.78564845864,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42423.3,6.15383e-05,0,0,0,0,42423.3,143875.5141010734,854669.9858330995,998545.4999341728
7,2024-01-01 07:00:00+00:00,142318.2418112709,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42527.0,6.82294e-05,0,0,0,0,42527.0,141844.8051699187,856759.1509270665,998603.9560969851
8,2024-01-01 08:00:00+00:00,142385.74356760993,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42588.2,7.86741e-05,0,0,0,0,42588.2,140679.35703473623,857992.1008185879,998671.4578533241
9,2024-01-01 09:00:00+00:00,142423.54345846747,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42688.8,4.39524e-05,0,0,0,0,42688.8,138690.44517580498,860018.8125683768,998709.2577441818
10,2024-01-01 10:00:00+00:00,142470.58631516388,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42727.7,5.465e-05,0,0,0,0,42727.7,137953.79929426312,860802.5013066151,998756.3006008782
11,2024-01-01 11:00:00+00:00,142523.76768827176,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42727.6,6.17813e-05,0,0,0,0,42727.6,138008.99529137675,860800.4866826093,998809.481973986
12,2024-01-01 12:00:00+00:00,142567.93053054577,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42682.0,5.13592e-05,0,0,0,0,42682.0,138971.82668027462,859881.8181359854,998853.6448162601
13,2024-01-01 13:00:00+00:00,142624.32527275526,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42753.9,6.5474e-05,0,0,0,0,42753.9,137579.70676234685,861330.3327961226,998910.0395584696
14,2024-01-01 14:00:00+00:00,142711.98290497717,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42645.6,0.0001020285,0,0,0,0,42645.6,139849.20219280056,859148.4949978909,998997.6971906915
15,2024-01-01 15:00:00+00:00,142812.98348508897,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42818.0,0.0001170856,0,0,0,0,42818.0,136476.99098699217,862621.7067838111,999098.6977708032
16,2024-01-01 16:00:00+00:00,142917.10100644839,-20.14624005754148,42503.5,50,20.14624005754148,0.0,42759.7,0.0001208635,0,0,0,0,42759.7,137755.63430370632,861447.1809884564,999202.8152921627
